Date,Ticker,Close,14 Day Price Change,14 Day % Change
2015-01-02,GOOG,523.3731079101562,-16.684,-3.188
2015-01-05,GOOG,512.4630126953125,-5.774,-1.127
2015-01-06,GOOG,500.5856323242188,6.103,1.219
2015-01-07,GOOG,499.7279968261719,16.894,3.381
2015-01-08,GOOG,501.3036804199219,31.623,6.308
2015-01-09,GOOG,494.8114929199219,43.66,8.824
2015-01-12,GOOG,491.201416015625,47.27,9.623
2015-01-13,GOOG,494.8214721679688,43.65,8.821
2015-01-14,GOOG,499.4986267089844,38.973,7.802
2015-01-15,GOOG,500.4161071777344,38.056,7.605
2015-01-16,GOOG,506.6888732910156,31.783,6.273
2015-01-20,GOOG,505.5121154785156,32.96,6.52
2015-01-21,GOOG,516.6216430664062,21.85,4.229
2015-01-22,GOOG,532.9268188476562,-6.791,-1.274
2015-01-23,GOOG,538.4716186523438,-8.925,-1.658
2015-01-26,GOOG,533.74462890625,-7.36,-1.379
2015-01-27,GOOG,517.2100219726562,18.26,3.53
2015-01-28,GOOG,508.6036376953125,26.866,5.282
2015-01-29,GOOG,509.2618103027344,32.182,6.319
2015-01-30,GOOG,533.0565185546875,14.45,2.711
2015-02-02,GOOG,527.0330200195312,20.474,3.885
2015-02-03,GOOG,527.7909545898438,19.716,3.736
2015-02-04,GOOG,521.3286743164062,26.178,5.021
2015-02-05,GOOG,526.135498046875,21.371,4.062
2015-02-06,GOOG,529.546142578125,17.961,3.392
2015-02-09,GOOG,526.3848266601562,21.122,4.013
2015-02-10,GOOG,535.4698486328125,12.037,2.248
2015-02-11,GOOG,534.5025024414062,13.004,2.433
2015-02-12,GOOG,541.4434814453125,12.516,2.312
2015-02-13,GOOG,547.5068359375,9.364,1.71
2015-02-17,GOOG,541.3536987304688,30.716,5.674
2015-02-18,GOOG,538.2222900390625,33.847,6.289
2015-02-19,GOOG,541.3836059570312,32.371,5.979
2015-02-20,GOOG,537.474365234375,36.28,6.75
2015-02-23,GOOG,530.45361328125,43.301,8.163
2015-02-24,GOOG,534.6221923828125,39.133,7.32
2015-02-25,GOOG,542.3809204101562,31.374,5.784
2015-02-26,GOOG,553.9591064453125,19.796,3.573
2015-02-27,GOOG,556.87109375,16.884,3.032
2015-03-02,GOOG,569.7756958007812,-16.784,-2.946
2015-03-03,GOOG,572.0693969726562,-22.738,-3.975
2015-03-04,GOOG,571.8001098632812,-13.832,-2.419
2015-03-05,GOOG,573.7547607421875,-17.293,-3.014
2015-03-06,GOOG,566.1306762695312,-7.305,-1.29
2015-03-09,GOOG,567.29248046875,-10.013,-1.765
2015-03-10,GOOG,553.4904174804688,15.138,2.735
2015-03-11,GOOG,549.6708984375,18.958,3.449
2015-03-12,GOOG,553.989013671875,14.64,2.643
2015-03-13,GOOG,545.8214721679688,22.807,4.179
2015-03-16,GOOG,552.9917602539062,15.637,2.828
2015-03-17,GOOG,549.331787109375,19.297,3.513
2015-03-18,GOOG,557.9680786132812,-16.894,-3.028
2015-03-19,GOOG,556.4622192382812,-22.398,-4.025
2015-03-20,GOOG,558.8257446289062,-24.762,-4.431
2015-03-23,GOOG,557.2799682617188,-21.985,-3.945
2015-03-24,GOOG,568.6288452148438,-33.079,-5.817
2015-03-25,GOOG,557.2550659179688,-17.128,-3.074
2015-03-26,GOOG,553.6499633789062,-14.351,-2.592
2015-03-27,GOOG,546.8386840820312,-8.307,-1.519
2015-03-30,GOOG,550.5185546875,-12.825,-2.33
2015-03-31,GOOG,546.4995727539062,-17.562,-3.214
2015-04-01,GOOG,541.074462890625,-10.003,-1.849
2015-04-02,GOOG,534.063720703125,6.063,1.135
2015-04-06,GOOG,535.2953491210938,-1.381,-0.258
2015-04-07,GOOG,535.5496215820312,-3.042,-0.568
2015-04-08,GOOG,540.1270751953125,-2.239,-0.415
2015-04-09,GOOG,539.2993774414062,6.203,1.15
2015-04-10,GOOG,538.5314331054688,24.981,4.639
2015-04-13,GOOG,537.6937866210938,25.819,4.802
2015-04-14,GOOG,528.9378051757812,34.575,6.537
2015-04-15,GOOG,531.0719604492188,32.441,6.109
2015-04-16,GOOG,532.3384399414062,31.174,5.856
2015-04-17,GOOG,522.6151733398438,40.898,7.826
2015-04-20,GOOG,533.9141235351562,29.599,5.544
2015-04-21,GOOG,532.5079956054688,31.005,5.822
2015-04-22,GOOG,537.8882446289062,25.625,4.764
2015-04-23,GOOG,545.5023193359375,-14.802,-2.714
2015-04-24,GOOG,563.5128784179688,-25.293,-4.488
2015-04-27,GOOG,555.3699951171875,-19.67,-3.542
2015-04-28,GOOG,553.6799926757812,-24.64,-4.45
2015-04-29,GOOG,549.0800170898438,-19.46,-3.544
2015-04-30,GOOG,537.3400268554688,1.06,0.197
2015-05-01,GOOG,537.9000244140625,-4.05,-0.753
2015-05-04,GOOG,540.780029296875,-8.48,-1.568
2015-05-05,GOOG,530.7999877929688,7.6,1.432
2015-05-06,GOOG,524.219970703125,15.05,2.871
2015-05-07,GOOG,530.7000122070312,11.81,2.225
2015-05-08,GOOG,538.219970703125,4.29,0.797
2015-05-11,GOOG,535.7000122070312,6.81,1.271
2015-05-12,GOOG,529.0399780273438,13.47,2.546
2015-05-13,GOOG,529.6199951171875,12.89,2.434
2015-05-14,GOOG,538.4000244140625,1.39,0.258
2015-05-15,GOOG,533.8499755859375,8.66,1.622
2015-05-18,GOOG,532.2999877929688,10.21,1.918
2015-05-19,GOOG,537.3599853515625,1.82,0.339
2015-05-20,GOOG,539.27001953125,1.04,0.193
2015-05-21,GOOG,542.510009765625,-5.81,-1.071
2015-05-22,GOOG,540.1099853515625,-6.78,-1.255
2015-05-26,GOOG,532.3200073242188,7.99,1.501
2015-05-27,GOOG,539.7899780273438,-3.1,-0.574
