Date,Ticker,Close,14 Day Price Change,14 Day % Change,Tweet Volume,Sentiment
2014-12-26,MSFT,41.99567794799805,-0.605,-1.441,141,0.0522103200935317
2014-12-26,META,80.77999877929688,-3.04,-3.763,2590,0.0863060360721326
2014-12-26,GOOG,26.62840461730957,-1.888,-7.089,763,0.0963529650764499
2014-12-26,AMZN,15.454500198364258,-0.608,-3.934,6057,0.0908146632370079
2014-12-26,NFLX,48.57857131958008,-1.537,-3.164,87,0.0338866237122051
2014-12-27,MSFT,41.99567794799805,-0.605,-1.441,174,0.049694830363435
2014-12-27,META,80.77999877929688,-3.04,-3.763,2505,0.0999886671068626
2014-12-27,GOOG,26.62840461730957,-1.888,-7.089,732,0.0609748770400178
2014-12-27,AMZN,15.454500198364258,-0.608,-3.934,5117,0.1349237136134726
2014-12-27,NFLX,48.57857131958008,-1.537,-3.164,80,0.0721464646464646
2014-12-28,MSFT,41.99567794799805,-0.605,-1.441,135,0.1277583840553765
2014-12-28,META,80.77999877929688,-3.04,-3.763,2181,0.1207007474848383
2014-12-28,GOOG,26.62840461730957,-1.888,-7.089,600,0.0688510010278119
2014-12-28,AMZN,15.454500198364258,-0.608,-3.934,5136,0.1388446601979327
2014-12-28,NFLX,48.57857131958008,-1.537,-3.164,97,0.0201425527597402
2014-12-29,MSFT,41.61851501464844,-0.746,-1.791,134,0.0464306367932322
2014-12-29,META,80.0199966430664,-3.3,-4.124,3427,0.103161250092031
2014-12-29,GOOG,26.443910598754883,-1.884,-7.124,715,0.081932523284796
2014-12-29,AMZN,15.60200023651123,-1.031,-6.611,5136,0.100896030337462
2014-12-29,NFLX,48.84714126586914,-3.3,-6.756,94,0.0574790457769181
2014-12-30,MSFT,41.241355895996094,-0.579,-1.404,146,0.1662844513396374
2014-12-30,META,79.22000122070312,-2.77,-3.497,3491,0.0876343989045601
2014-12-30,GOOG,26.44839859008789,-1.707,-6.455,727,0.0774041162559774
2014-12-30,AMZN,15.515000343322754,-0.778,-5.015,5150,0.1106312949483312
2014-12-30,NFLX,49.03285598754883,-2.777,-5.664,120,0.0375277383680745
2014-12-31,MSFT,40.74141311645508,1.0,2.454,89,0.0824451410658307
2014-12-31,META,78.0199966430664,-1.74,-2.23,2907,0.1192701848241909
2014-12-31,GOOG,26.247949600219727,-1.273,-4.85,849,0.0669565607933314
2014-12-31,AMZN,15.517499923706056,-0.854,-5.503,5301,0.1223298771935135
2014-12-31,NFLX,48.80142974853516,-2.481,-5.085,151,0.0658150252525252
2015-01-01,MSFT,40.74141311645508,1.0,2.454,84,0.1316953316953317
2015-01-01,META,78.0199966430664,-1.74,-2.23,2077,0.1160249744468494
2015-01-01,GOOG,26.247949600219727,-1.273,-4.85,516,0.0673962862413673
2015-01-01,AMZN,15.517499923706056,-0.854,-5.503,4757,0.1206167460393089
2015-01-01,NFLX,48.80142974853516,-2.481,-5.085,78,0.0516821172248803
2015-01-02,MSFT,41.0133056640625,-0.456,-1.112,82,0.046129468281367
2015-01-02,META,78.44999694824219,-3.27,-4.168,2766,0.1299276275016406
2015-01-02,GOOG,26.16866683959961,-0.834,-3.188,676,0.0898040002312314
2015-01-02,AMZN,15.425999641418455,-0.889,-5.763,5350,0.1319300948648774
2015-01-02,NFLX,49.84857177734375,-1.657,-3.324,104,0.068773378724835
2015-01-03,MSFT,41.0133056640625,-0.456,-1.112,174,0.0283989252558616
2015-01-03,META,78.44999694824219,-3.27,-4.168,2533,0.1219589384357833
2015-01-03,GOOG,26.16866683959961,-0.834,-3.188,591,0.0707943098568098
2015-01-03,AMZN,15.425999641418455,-0.889,-5.763,5079,0.1193165436713824
2015-01-03,NFLX,49.84857177734375,-1.657,-3.324,120,0.0744660330988455
